species,gene
Canis lupus familiaris,IGF2R
Mus musculus,AF313042
Mus musculus,AF357341
Mus musculus,AF357355
Mus musculus,AF357359
Mus musculus,AF357425
Mus musculus,AF357426
Mus musculus,AF357428
Mus musculus,AK155734
Mus musculus,AIR
Mus musculus,AMPD3
Mus musculus,ANO1
Mus musculus,AQP1
Mus musculus,ASB4
Mus musculus,ASCL2
Mus musculus,AXL
Mus musculus,B830012L14RIK
Mus musculus,BEGAIN
Mus musculus,GM897
Mus musculus,BM948371
Mus musculus,BLCAP
Mus musculus,BC10
Mus musculus,AL462828
Mus musculus,MGC102074
Mus musculus,CALCR
Mus musculus,CLR
Mus musculus,CCDC40
Mus musculus,CD81
Mus musculus,CDH15
Mus musculus,CDH14
Mus musculus,AL323380
Mus musculus,CDKN1C
Mus musculus,CHRAC1
Mus musculus,COMMD1
Mus musculus,COPG2
Mus musculus,DACT2
Mus musculus,DCN
Mus musculus,DCD
Mus musculus,DHCR7
Mus musculus,DIO3
Mus musculus,DIO3OS
Mus musculus,DLK1
Mus musculus,FKBP6
Mus musculus,FTHL17A
Mus musculus,FTHL17B
Mus musculus,FTHL17C
Mus musculus,FTHL17D
Mus musculus,FTHL17E
Mus musculus,FTHL17F
Mus musculus,FTX
Mus musculus,GAB1
Mus musculus,GALNT6
Mus musculus,GATM
Mus musculus,GM35612
Mus musculus,GNAS
Mus musculus,GPR1
Mus musculus,GRB10
Mus musculus,GTL2
Mus musculus,H13
Mus musculus,H19
Mus musculus,HTR2A
Mus musculus,HYMAI
Mus musculus,IGF2
Mus musculus,IGF2AS
Mus musculus,IGF2R
Mus musculus,IL6
Mus musculus,IMPACT
Mus musculus,INPP5FV2
Mus musculus,INS2
Mus musculus,JADE1
Mus musculus,JPX
Mus musculus,KCNK9
Mus musculus,KCNQ1
Mus musculus,KCNQ1OT1
Mus musculus,KLF14
Mus musculus,LOC101055709
Mus musculus,LIN28A
Mus musculus,MAGEL2
Mus musculus,MAGI2
Mus musculus,MCTS2
Mus musculus,MEST
Mus musculus,MIR127
Mus musculus,MIR134
Mus musculus,MIR134
Mus musculus,MIR136
Mus musculus,MIR154
Mus musculus,MIR184
Mus musculus,MIR296
Mus musculus,MIR298
Mus musculus,MIR335
Mus musculus,MIR337
Mus musculus,MIR370
Mus musculus,MIR376B
Mus musculus,MIR380
Mus musculus,MIR410
Mus musculus,MIR411
Mus musculus,MIR431
Mus musculus,MIRG
Mus musculus,MKRN1-PS1
Mus musculus,MKRN3
Mus musculus,MUSD2
Mus musculus,NAP1L4
Mus musculus,NAP1L5
Mus musculus,NCTC1
Mus musculus,NDN
Mus musculus,NESPAS
Mus musculus,NLRP2
Mus musculus,NNAT
Mus musculus,NTM
Mus musculus,PDE10A
Mus musculus,PEG10
Mus musculus,PEG12
Mus musculus,PEG13
Mus musculus,PEG3
Mus musculus,PEG3OS
Mus musculus,PHLDA2
Mus musculus,PLAGL1
Mus musculus,PLATR20
Mus musculus,PPP1R9A
Mus musculus,PRKN
Mus musculus,PWCR1
Mus musculus,QPCT
Mus musculus,RASGRF1
Mus musculus,RHOX5
Mus musculus,RIAN
Mus musculus,RTL1
Mus musculus,SFMBT2
Mus musculus,SGCE
Mus musculus,SLC22A18
Mus musculus,SLC22A2
Mus musculus,SLC22A3
Mus musculus,SLC38A4
Mus musculus,SMOC1
Mus musculus,SMOC2
Mus musculus,SNRPN
Mus musculus,SNURF
Mus musculus,SNX14
Mus musculus,TFPI2
Mus musculus,TH
Mus musculus,THBS2
Mus musculus,TNFRSF22
Mus musculus,TNFRSF23
Mus musculus,TNFRSF26
Mus musculus,TRAPPC9
Mus musculus,TSIX
Mus musculus,TSSC4
Mus musculus,U2AF1RS1
Mus musculus,UBE3A
Mus musculus,USP29
Mus musculus,XIST
Mus musculus,XLR3B
Mus musculus,ZCCHC13
Mus musculus,ZDBF2
Mus musculus,ZFP127AS
Mus musculus,ZFP264
Mus musculus,ZFP64
Mus musculus,ZIM1
Mus musculus,ZIM2
Mus musculus,ZIM3
Mus musculus,ZRSR1
Oryctolagus cuniculus,IMPACT
Ovis aries,BEGAIN
Ovis aries,BLCAP
Ovis aries,CASD1
Ovis aries,CDKN1C
Ovis aries,COPG2
Ovis aries,DIO3
Ovis aries,DIRAS3
Ovis aries,DLK1
Ovis aries,GATM
Ovis aries,GNAS
Ovis aries,GRB10
Ovis aries,GTL2
Ovis aries,IGF2
Ovis aries,IGF2R
Ovis aries,INPP5F
Ovis aries,KCNQ1
Ovis aries,MEST
Ovis aries,PEG3
Ovis aries,PHLDA2
Ovis aries,PLAGL1
Ovis aries,PON3
Ovis aries,PPP1R9A
Ovis aries,PRNP
Ovis aries,SLC22A18
Ovis aries,WARS1
Rattus norvegicus,APEG3
Rattus norvegicus,DIO3
Rattus norvegicus,DIO3OS
Rattus norvegicus,DLK1
Rattus norvegicus,GTL2
Rattus norvegicus,H19
Rattus norvegicus,IGF2
Rattus norvegicus,IGF2R
Rattus norvegicus,IMPACT
Rattus norvegicus,PEG3
Rattus norvegicus,RASGRF1
Rattus norvegicus,RIAN
Rattus norvegicus,RTL1
Rattus norvegicus,SFMBT2
Sus scrofa,AMPD3
Sus scrofa,CDKN1C
Sus scrofa,COPG2
Sus scrofa,DHCR7
Sus scrofa,DIO3
Sus scrofa,DIRAS3
Sus scrofa,DIS3L2
Sus scrofa,DLK1
Sus scrofa,DLX5
Sus scrofa,H19
Sus scrofa,IGF2
Sus scrofa,IGF2R
Sus scrofa,IGF2AS
Sus scrofa,INPP5F
Sus scrofa,JPH3
Sus scrofa,KBTBD6
Sus scrofa,KCNQ1
Sus scrofa,LOC102165344
Sus scrofa,MAGEL2
Sus scrofa,MEG3
Sus scrofa,MEST
Sus scrofa,NAP1L5
Sus scrofa,NECD
Sus scrofa,NESP55
Sus scrofa,NNAT
Sus scrofa,NOB1
Sus scrofa,OSBPL1A
Sus scrofa,PEG10
Sus scrofa,PEG3
Sus scrofa,PGM2L1
Sus scrofa,PHLDA2
Sus scrofa,PLAGL1
Sus scrofa,PON2
Sus scrofa,PPP1R9A
Sus scrofa,PRIM2
Sus scrofa,RASGRF1
Sus scrofa,SGCE
Sus scrofa,SGIP1
Sus scrofa,SLC38A4
Sus scrofa,SNRPN
Sus scrofa,TACC2
Sus scrofa,TFPI2
Sus scrofa,THRB
Sus scrofa,ZNF709
,
Homo sapiens,ADNP2
Homo sapiens,ADTRP
Mus musculus,AF313042
Mus musculus,AF357341
Mus musculus,AF357355
Mus musculus,AF357359
Mus musculus,AF357425
Mus musculus,AF357426
Mus musculus,AF357428
Homo sapiens,AIM1
Sus scrofa,AIRN
Sus scrofa,AMPD3
Homo sapiens,ANO1
Bos taurus,AOX1
Bos taurus,APCS
Bos taurus,APEG3
Bos taurus,AS3MT
Bos taurus,ASB4
Ovis aries,ASCL2
Bos taurus,ASCL2
Macaca fascicularis,ATP10A
Homo sapiens,ATP10A
Bos taurus,ATP2C2
Homo sapiens,ATP5F1EP2
Bos taurus,AXL
Homo sapiens,AXL
Mus musculus,Adam23
Rattus norvegicus,Aig1
Mus musculus,Air
Mus musculus,Ampd3
Mus musculus,Ano1
Rattus norvegicus,Apeg3
Mus musculus,Aqp1
Rattus norvegicus,Arhgap32
Mus musculus,Asb4
Mus musculus,Ascl2
Rattus norvegicus,Ascl2
Mus musculus,Axl
Mus musculus,B830012L14Rik
Ovis aries,BEGAIN
Bos taurus,BEGAIN
Ovis aries,BLCAP
Homo sapiens,BLCAP
Mus musculus,Begain
Mus musculus,Blcap
Bos taurus,C1R
Bos taurus,C1S
Ovis aries,CASD1
Homo sapiens,CCDC71L
Bos taurus,CDA
Bos taurus,CDH13
Ovis aries,CDKN1C
Macaca fascicularis,CDKN1C
Homo sapiens,CDKN1C
Sus scrofa,CDKN1C
Bos taurus,CDKN1C
Equus caballus,CFH
Bos taurus,CIAO3
Homo sapiens,CMTM1
Sus scrofa,COPG2
Ovis aries,COPG2
Homo sapiens,COPG2IT1
Homo sapiens,CPA4
Mus musculus,Calcr
Mus musculus,Ccdc40
Mus musculus,Cd81
Rattus norvegicus,Cd81
Rattus norvegicus,Cdc42ep1
Mus musculus,Cdh15
Mus musculus,Cdkn1c
Mus musculus,Chrac1
Mus musculus,Commd1
Mus musculus,Copg2
Homo sapiens,DDC
Homo sapiens,DGCR6
Homo sapiens,DGCR6L
Sus scrofa,DHCR7
Ovis aries,DIO3
Macaca fascicularis,DIO3
Homo sapiens,DIO3
Sus scrofa,DIO3
Bos taurus,DIO3
Bos taurus,DIO3OS
Homo sapiens,DIO3OS
Equus caballus,DIRAS3
Ovis aries,DIRAS3
Bos taurus,DIRAS3
Sus scrofa,DIRAS3
Homo sapiens,DIRAS3
Sus scrofa,DIS3L2
Homo sapiens,DLGAP2
Equus caballus,DLK1
Macaca fascicularis,DLK1
Bos taurus,DLK1
Sus scrofa,DLK1
Ovis aries,DLK1
Homo sapiens,DLK1
Sus scrofa,DLX5
Homo sapiens,DNMT1
Homo sapiens,DSCAM
Mus musculus,Dact2
Mus musculus,Dcn
Mus musculus,Ddc
Mus musculus,Dhcr7
Mus musculus,Dio3
Rattus norvegicus,Dio3
Rattus norvegicus,Dio3os
Rattus norvegicus,Dlk1
Mus musculus,Dlk1
Homo sapiens,ERAP2
Monodelphis domestica,FAM169A
Homo sapiens,FAM50B
Mus musculus,Fkbp6
Mus musculus,Fthl17a
Mus musculus,Fthl17b
Mus musculus,Fthl17c
Mus musculus,Fthl17d
Mus musculus,Fthl17e
Mus musculus,Fthl17f
Mus musculus,Ftx
Ovis aries,GATM
Homo sapiens,GDAP1L1
Homo sapiens,GLI3
Homo sapiens,GLIS3
Homo sapiens,GNAS-AS1
Ovis aries,GNAS
Homo sapiens,GNAS
Bos taurus,GNAS
Bos taurus,GNASXL
Bos taurus,GNG11
Homo sapiens,GPR1
Ovis aries,GRB10
Homo sapiens,GRB10
Ovis aries,GTL2
Mus musculus,Gab1
Rattus norvegicus,Gab1
Rattus norvegicus,Gadl1
Mus musculus,Galnt6
Mus musculus,Gatm
Mus musculus,Gm35612
Mus musculus,Gnas
Rattus norvegicus,Gnas
Mus musculus,Grb10
Rattus norvegicus,Grb10
Rattus norvegicus,Gsto1
Mus musculus,Gtl2
Rattus norvegicus,Gtl2
Mus musculus,H13
Bos taurus,H19
Equus caballus,H19
Canis lupus familiaris,H19
Mus musculus,H19
Homo sapiens,H19
Rattus norvegicus,H19
Equus caballus,HAT1
Homo sapiens,HECW1
Homo sapiens,HMMR
Homo sapiens,HOXA4
Monodelphis domestica,HTR2A
Homo sapiens,HYMAI
Mus musculus,Htr2a
Mus musculus,Hymai
Macropus eugenii,IGF2
Equus caballus,IGF2
Macaca fascicularis,IGF2
Bos taurus,IGF2
Homo sapiens,IGF2
Sus scrofa,IGF2
Ovis aries,IGF2
Canis lupus familiaris,IGF2
Homo sapiens,IGF2AS
Didelphis virginiana,IGF2R
Monodelphis domestica,IGF2R
Equus caballus,IGF2R
Macaca fascicularis,IGF2R
Sus scrofa,IGF2R
Ovis aries,IGF2R
Canis lupus familiaris,IGF2R
Oryctolagus cuniculus,IMPACT
Sus scrofa,INPP5F
Ovis aries,INPP5F
Homo sapiens,INPP5F
Bos taurus,INPP5F
Macaca fascicularis,INS
Equus caballus,INS
Homo sapiens,INS
Homo sapiens,IRAIN
Mus musculus,Igf2
Rattus norvegicus,Igf2
Mus musculus,Igf2as
Rattus norvegicus,Igf2r
Rattus norvegicus,Igfbp3
Mus musculus,Impact
Rattus norvegicus,Impact
Mus musculus,Inpp5f
Mus musculus,Ins2
Rattus norvegicus,Insyn2b
Rattus norvegicus,Itga1
Sus scrofa,JPH3
Mus musculus,Jade1
Mus musculus,Jpx
Equus caballus,KBTBD6
Sus scrofa,KBTBD6
Ovis aries,KBTBD6
Canis lupus familiaris,KBTBD6
Capra hircus,KBTBD6
Bos taurus,KBTBD6
Homo sapiens,KCNK9
Ovis aries,KCNQ1
Macaca fascicularis,KCNQ1
Homo sapiens,KCNQ1
Sus scrofa,KCNQ1
Homo sapiens,KCNQ1DN
Sus scrofa,KCNQ1OT1
Homo sapiens,KCNQ1OT1
Bos taurus,KIAA0513
Homo sapiens,KLF14
Bos taurus,KRT7
Mus musculus,Kcnk9
Mus musculus,Kcnq1
Rattus norvegicus,Kcnq1ot1
Mus musculus,Kcnq1ot1
Mus musculus,Klf14
Monodelphis domestica,L3MBTL1
Macaca fascicularis,L3MBTL1
Homo sapiens,L3MBTL1
Homo sapiens,LIN28B
Bos taurus,LOC100298176
Bos taurus,LOC100848941
Bos taurus,LOC100849023
Bos taurus,LOC101905472
Bos taurus,LOC101907203
Bos taurus,LOC101907679
Bos taurus,LOC104974975
Rattus norvegicus,LOC108350526
Bos taurus,LOC508098
Homo sapiens,LRRTM1
Rattus norvegicus,Lef1l
Equus caballus,MAGEL2
Sus scrofa,MAGEL2
Macaca fascicularis,MAGEL2
Ovis aries,MAGEL2
Bos taurus,MAGEL2
Homo sapiens,MAGEL2
Homo sapiens,MAGI2
Canis lupus familiaris,MAS1
Homo sapiens,MCTS2
Bos taurus,MEAK7
Sus scrofa,MEG3
Bos taurus,MEG3
Ovis aries,MEG3
Homo sapiens,MEG3
Bos taurus,MEG8
Homo sapiens,MEG8
Bos taurus,MEG9
Monodelphis domestica,MEIS1
Monodelphis domestica,MEST
Equus caballus,MEST
Sus scrofa,MEST
Ovis aries,MEST
Bos taurus,MEST
Homo sapiens,MEST
Homo sapiens,MESTIT1
Bos taurus,MGC157368
Homo sapiens,MIMT1
Bos taurus,MIMT1
Homo sapiens,MIR125B2
Homo sapiens,MIR296
Homo sapiens,MIR298
Homo sapiens,MIR371A
Macaca fascicularis,MKRN3
Bos taurus,MKRN3
Homo sapiens,MKRN3
Homo sapiens,MYC
Homo sapiens,MYCN
Rattus norvegicus,Maged2
Mus musculus,Maged2
Mus musculus,Magel2
Rattus norvegicus,Magel2
Mus musculus,Magi2
Mus musculus,Mcts2
Mus musculus,Mest
Mus musculus,Mir127
Mus musculus,Mir136
Mus musculus,Mir184
Mus musculus,Mir296
Mus musculus,Mir298
Mus musculus,Mir335
